"Relic_Name","C1","C2","C3","U1","U2","Rare","Class","Type","Refinement","C1_Raw","C2_Raw","C3_Raw","U1_Raw","U2_Raw","Rare_Raw","C1_Odds","C2_Odds","C3_Odds","U1_Odds","U2_Odds","Rare_Odds"
"Axi A13 Relic (Exceptional) ","Forma (23.33%)","Burston Prime Receiver (23.33%)","Inaros Prime Systems (23.33%)","Orthos Prime (13.0%)","Pangolin Prime Blade (13.0%)","Aksomati Prime Link (4.0%)","Axi","A13","Exceptional","Forma","Burston Prime Receiver","Inaros Prime Systems","Orthos Prime","Pangolin Prime Blade","Aksomati Prime Link","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi A13 Relic (Flawless) ","Forma (20.0%)","Burston Prime Receiver (20.0%)","Inaros Prime Systems (20.0%)","Orthos Prime (17.0%)","Pangolin Prime Blade (17.0%)","Aksomati Prime Link (6.0%)","Axi","A13","Flawless","Forma","Burston Prime Receiver","Inaros Prime Systems","Orthos Prime","Pangolin Prime Blade","Aksomati Prime Link","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi A13 Relic (Radiant) ","Orthos Prime (20.0%)","Pangolin Prime Blade (20.0%)","Forma (16.67%)","Burston Prime Receiver (16.67%)","Inaros Prime Systems (16.67%)","Aksomati Prime Link (10.0%)","Axi","A13","Radiant","Orthos Prime","Pangolin Prime Blade","Forma","Burston Prime Receiver","Inaros Prime Systems","Aksomati Prime Link","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi A14 Relic (Intact) ","Zakti Prime Receiver (25.33%)","Paris Prime (25.33%)","Volnus Prime (25.33%)","Karyst Prime Handle (11.0%)","Nidus Prime (11.0%)","Aksomati Prime Link (2.0%)","Axi","A14","Intact","Zakti Prime Receiver","Paris Prime","Volnus Prime","Karyst Prime Handle","Nidus Prime","Aksomati Prime Link","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi A14 Relic (Exceptional) ","Zakti Prime Receiver (23.33%)","Paris Prime (23.33%)","Volnus Prime (23.33%)","Karyst Prime Handle (13.0%)","Nidus Prime (13.0%)","Aksomati Prime Link (4.0%)","Axi","A14","Exceptional","Zakti Prime Receiver","Paris Prime","Volnus Prime","Karyst Prime Handle","Nidus Prime","Aksomati Prime Link","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi A14 Relic (Flawless) ","Zakti Prime Receiver (20.0%)","Paris Prime (20.0%)","Volnus Prime (20.0%)","Karyst Prime Handle (17.0%)","Nidus Prime (17.0%)","Aksomati Prime Link (6.0%)","Axi","A14","Flawless","Zakti Prime Receiver","Paris Prime","Volnus Prime","Karyst Prime Handle","Nidus Prime","Aksomati Prime Link","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi A14 Relic (Radiant) ","Karyst Prime Handle (20.0%)","Nidus Prime (20.0%)","Zakti Prime Receiver (16.67%)","Paris Prime (16.67%)","Volnus Prime (16.67%)","Aksomati Prime Link (10.0%)","Axi","A14","Radiant","Karyst Prime Handle","Nidus Prime","Zakti Prime Receiver","Paris Prime","Volnus Prime","Aksomati Prime Link","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi A2 Relic (Intact) ","Lex Prime Receiver (25.33%)","Forma (25.33%)","Lex Prime Barrel (25.33%)","Aklex Prime (11.0%)","Lex Prime (11.0%)","Aklex Prime Link (2.0%)","Axi","A2","Intact","Lex Prime Receiver","Forma","Lex Prime Barrel","Aklex Prime","Lex Prime","Aklex Prime Link","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi A2 Relic (Exceptional) ","Lex Prime Receiver (23.33%)","Forma (23.33%)","Lex Prime Barrel (23.33%)","Aklex Prime (13.0%)","Lex Prime (13.0%)","Aklex Prime Link (4.0%)","Axi","A2","Exceptional","Lex Prime Receiver","Forma","Lex Prime Barrel","Aklex Prime","Lex Prime","Aklex Prime Link","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi A2 Relic (Flawless) ","Lex Prime Receiver (20.0%)","Forma (20.0%)","Lex Prime Barrel (20.0%)","Aklex Prime (17.0%)","Lex Prime (17.0%)","Aklex Prime Link (6.0%)","Axi","A2","Flawless","Lex Prime Receiver","Forma","Lex Prime Barrel","Aklex Prime","Lex Prime","Aklex Prime Link","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi A2 Relic (Radiant) ","Aklex Prime (20.0%)","Lex Prime (20.0%)","Lex Prime Receiver (16.67%)","Forma (16.67%)","Lex Prime Barrel (16.67%)","Aklex Prime Link (10.0%)","Axi","A2","Radiant","Aklex Prime","Lex Prime","Lex Prime Receiver","Forma","Lex Prime Barrel","Aklex Prime Link","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi A3 Relic (Intact) ","Braton Prime Barrel (25.33%)","Helios Prime Carapace (25.33%)","Kogake Prime Boot (25.33%)","Hydroid Prime Neuroptics (11.0%)","Cernos Prime String (11.0%)","Akbolto Prime Receiver (2.0%)","Axi","A3","Intact","Braton Prime Barrel","Helios Prime Carapace","Kogake Prime Boot","Hydroid Prime Neuroptics","Cernos Prime String","Akbolto Prime Receiver","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi A3 Relic (Exceptional) ","Braton Prime Barrel (23.33%)","Helios Prime Carapace (23.33%)","Kogake Prime Boot (23.33%)","Hydroid Prime Neuroptics (13.0%)","Cernos Prime String (13.0%)","Akbolto Prime Receiver (4.0%)","Axi","A3","Exceptional","Braton Prime Barrel","Helios Prime Carapace","Kogake Prime Boot","Hydroid Prime Neuroptics","Cernos Prime String","Akbolto Prime Receiver","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi A3 Relic (Flawless) ","Braton Prime Barrel (20.0%)","Helios Prime Carapace (20.0%)","Kogake Prime Boot (20.0%)","Hydroid Prime Neuroptics (17.0%)","Cernos Prime String (17.0%)","Akbolto Prime Receiver (6.0%)","Axi","A3","Flawless","Braton Prime Barrel","Helios Prime Carapace","Kogake Prime Boot","Hydroid Prime Neuroptics","Cernos Prime String","Akbolto Prime Receiver","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi A3 Relic (Radiant) ","Hydroid Prime Neuroptics (20.0%)","Cernos Prime String (20.0%)","Braton Prime Barrel (16.67%)","Helios Prime Carapace (16.67%)","Kogake Prime Boot (16.67%)","Akbolto Prime Receiver (10.0%)","Axi","A3","Radiant","Hydroid Prime Neuroptics","Cernos Prime String","Braton Prime Barrel","Helios Prime Carapace","Kogake Prime Boot","Akbolto Prime Receiver","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi A4 Relic (Intact) ","Braton Prime Stock (25.33%)","Forma (25.33%)","Zephyr Prime Neuroptics (25.33%)","Fang Prime Handle (11.0%)","Ballistica Prime String (11.0%)","Akbolto Prime Receiver (2.0%)","Axi","A4","Intact","Braton Prime Stock","Forma","Zephyr Prime Neuroptics","Fang Prime Handle","Ballistica Prime String","Akbolto Prime Receiver","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi A4 Relic (Exceptional) ","Braton Prime Stock (23.33%)","Forma (23.33%)","Zephyr Prime Neuroptics (23.33%)","Fang Prime Handle (13.0%)","Ballistica Prime String (13.0%)","Akbolto Prime Receiver (4.0%)","Axi","A4","Exceptional","Braton Prime Stock","Forma","Zephyr Prime Neuroptics","Fang Prime Handle","Ballistica Prime String","Akbolto Prime Receiver","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi A4 Relic (Flawless) ","Braton Prime Stock (20.0%)","Forma (20.0%)","Zephyr Prime Neuroptics (20.0%)","Fang Prime Handle (17.0%)","Ballistica Prime String (17.0%)","Akbolto Prime Receiver (6.0%)","Axi","A4","Flawless","Braton Prime Stock","Forma","Zephyr Prime Neuroptics","Fang Prime Handle","Ballistica Prime String","Akbolto Prime Receiver","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi A4 Relic (Radiant) ","Fang Prime Handle (20.0%)","Ballistica Prime String (20.0%)","Braton Prime Stock (16.67%)","Forma (16.67%)","Zephyr Prime Neuroptics (16.67%)","Akbolto Prime Receiver (10.0%)","Axi","A4","Radiant","Fang Prime Handle","Ballistica Prime String","Braton Prime Stock","Forma","Zephyr Prime Neuroptics","Akbolto Prime Receiver","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi A5 Relic (Intact) ","Vasto Prime Barrel (25.33%)","Vasto Prime Receiver (25.33%)","Forma (25.33%)","Vasto Prime (11.0%)","Akvasto Prime Link (11.0%)","Akvasto Prime (2.0%)","Axi","A5","Intact","Vasto Prime Barrel","Vasto Prime Receiver","Forma","Vasto Prime","Akvasto Prime Link","Akvasto Prime","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi A5 Relic (Exceptional) ","Vasto Prime Barrel (23.33%)","Vasto Prime Receiver (23.33%)","Forma (23.33%)","Vasto Prime (13.0%)","Akvasto Prime Link (13.0%)","Akvasto Prime (4.0%)","Axi","A5","Exceptional","Vasto Prime Barrel","Vasto Prime Receiver","Forma","Vasto Prime","Akvasto Prime Link","Akvasto Prime","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi A5 Relic (Flawless) ","Vasto Prime Barrel (20.0%)","Vasto Prime Receiver (20.0%)","Forma (20.0%)","Vasto Prime (17.0%)","Akvasto Prime Link (17.0%)","Akvasto Prime (6.0%)","Axi","A5","Flawless","Vasto Prime Barrel","Vasto Prime Receiver","Forma","Vasto Prime","Akvasto Prime Link","Akvasto Prime","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi A5 Relic (Radiant) ","Vasto Prime (20.0%)","Akvasto Prime Link (20.0%)","Vasto Prime Barrel (16.67%)","Vasto Prime Receiver (16.67%)","Forma (16.67%)","Akvasto Prime (10.0%)","Axi","A5","Radiant","Vasto Prime","Akvasto Prime Link","Vasto Prime Barrel","Vasto Prime Receiver","Forma","Akvasto Prime","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi A6 Relic (Intact) ","Orthos Prime Handle (25.33%)","Braton Prime Stock (25.33%)","Chroma Prime (25.33%)","Zhuge Prime (11.0%)","Tipedo Prime Ornament (11.0%)","Atlas Prime Neuroptics (2.0%)","Axi","A6","Intact","Orthos Prime Handle","Braton Prime Stock","Chroma Prime","Zhuge Prime","Tipedo Prime Ornament","Atlas Prime Neuroptics","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi A6 Relic (Exceptional) ","Orthos Prime Handle (23.33%)","Braton Prime Stock (23.33%)","Chroma Prime (23.33%)","Zhuge Prime (13.0%)","Tipedo Prime Ornament (13.0%)","Atlas Prime Neuroptics (4.0%)","Axi","A6","Exceptional","Orthos Prime Handle","Braton Prime Stock","Chroma Prime","Zhuge Prime","Tipedo Prime Ornament","Atlas Prime Neuroptics","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi A6 Relic (Flawless) ","Orthos Prime Handle (20.0%)","Braton Prime Stock (20.0%)","Chroma Prime (20.0%)","Zhuge Prime (17.0%)","Tipedo Prime Ornament (17.0%)","Atlas Prime Neuroptics (6.0%)","Axi","A6","Flawless","Orthos Prime Handle","Braton Prime Stock","Chroma Prime","Zhuge Prime","Tipedo Prime Ornament","Atlas Prime Neuroptics","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi A6 Relic (Radiant) ","Zhuge Prime (20.0%)","Tipedo Prime Ornament (20.0%)","Orthos Prime Handle (16.67%)","Braton Prime Stock (16.67%)","Chroma Prime (16.67%)","Atlas Prime Neuroptics (10.0%)","Axi","A6","Radiant","Zhuge Prime","Tipedo Prime Ornament","Orthos Prime Handle","Braton Prime Stock","Chroma Prime","Atlas Prime Neuroptics","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi A7 Relic (Intact) ","Carrier Prime Systems (25.33%)","Braton Prime (25.33%)","Akstiletto Prime Receiver (25.33%)","Fragor Prime (11.0%)","Forma (11.0%)","Ash Prime Systems (2.0%)","Axi","A7","Intact","Carrier Prime Systems","Braton Prime","Akstiletto Prime Receiver","Fragor Prime","Forma","Ash Prime Systems","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi A7 Relic (Exceptional) ","Carrier Prime Systems (23.33%)","Braton Prime (23.33%)","Akstiletto Prime Receiver (23.33%)","Fragor Prime (13.0%)","Forma (13.0%)","Ash Prime Systems (4.0%)","Axi","A7","Exceptional","Carrier Prime Systems","Braton Prime","Akstiletto Prime Receiver","Fragor Prime","Forma","Ash Prime Systems","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi A7 Relic (Flawless) ","Carrier Prime Systems (20.0%)","Braton Prime (20.0%)","Akstiletto Prime Receiver (20.0%)","Fragor Prime (17.0%)","Forma (17.0%)","Ash Prime Systems (6.0%)","Axi","A7","Flawless","Carrier Prime Systems","Braton Prime","Akstiletto Prime Receiver","Fragor Prime","Forma","Ash Prime Systems","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi A7 Relic (Radiant) ","Fragor Prime (20.0%)","Forma (20.0%)","Carrier Prime Systems (16.67%)","Braton Prime (16.67%)","Akstiletto Prime Receiver (16.67%)","Ash Prime Systems (10.0%)","Axi","A7","Radiant","Fragor Prime","Forma","Carrier Prime Systems","Braton Prime","Akstiletto Prime Receiver","Ash Prime Systems","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi A8 Relic (Intact) ","Pyrana Prime Barrel (25.33%)","Braton Prime Stock (25.33%)","Equinox Prime Chassis (25.33%)","Gram Prime (11.0%)","Forma (11.0%)","Aksomati Prime Link (2.0%)","Axi","A8","Intact","Pyrana Prime Barrel","Braton Prime Stock","Equinox Prime Chassis","Gram Prime","Forma","Aksomati Prime Link","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi A8 Relic (Exceptional) ","Pyrana Prime Barrel (23.33%)","Braton Prime Stock (23.33%)","Equinox Prime Chassis (23.33%)","Gram Prime (13.0%)","Forma (13.0%)","Aksomati Prime Link (4.0%)","Axi","A8","Exceptional","Pyrana Prime Barrel","Braton Prime Stock","Equinox Prime Chassis","Gram Prime","Forma","Aksomati Prime Link","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi A8 Relic (Flawless) ","Pyrana Prime Barrel (20.0%)","Braton Prime Stock (20.0%)","Equinox Prime Chassis (20.0%)","Gram Prime (17.0%)","Forma (17.0%)","Aksomati Prime Link (6.0%)","Axi","A8","Flawless","Pyrana Prime Barrel","Braton Prime Stock","Equinox Prime Chassis","Gram Prime","Forma","Aksomati Prime Link","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi A8 Relic (Radiant) ","Gram Prime (20.0%)","Forma (20.0%)","Pyrana Prime Barrel (16.67%)","Braton Prime Stock (16.67%)","Equinox Prime Chassis (16.67%)","Aksomati Prime Link (10.0%)","Axi","A8","Radiant","Gram Prime","Forma","Pyrana Prime Barrel","Braton Prime Stock","Equinox Prime Chassis","Aksomati Prime Link","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi A9 Relic (Intact) ","Lex Prime (25.33%)","Rubico Prime Stock (25.33%)","Gram Prime Blade (25.33%)","Ivara Prime Systems (11.0%)","Akbronco Prime Link (11.0%)","Atlas Prime Neuroptics (2.0%)","Axi","A9","Intact","Lex Prime","Rubico Prime Stock","Gram Prime Blade","Ivara Prime Systems","Akbronco Prime Link","Atlas Prime Neuroptics","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi A9 Relic (Exceptional) ","Lex Prime (23.33%)","Rubico Prime Stock (23.33%)","Gram Prime Blade (23.33%)","Ivara Prime Systems (13.0%)","Akbronco Prime Link (13.0%)","Atlas Prime Neuroptics (4.0%)","Axi","A9","Exceptional","Lex Prime","Rubico Prime Stock","Gram Prime Blade","Ivara Prime Systems","Akbronco Prime Link","Atlas Prime Neuroptics","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi A9 Relic (Flawless) ","Lex Prime (20.0%)","Rubico Prime Stock (20.0%)","Gram Prime Blade (20.0%)","Ivara Prime Systems (17.0%)","Akbronco Prime Link (17.0%)","Atlas Prime Neuroptics (6.0%)","Axi","A9","Flawless","Lex Prime","Rubico Prime Stock","Gram Prime Blade","Ivara Prime Systems","Akbronco Prime Link","Atlas Prime Neuroptics","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi A9 Relic (Radiant) ","Ivara Prime Systems (20.0%)","Akbronco Prime Link (20.0%)","Lex Prime (16.67%)","Rubico Prime Stock (16.67%)","Gram Prime Blade (16.67%)","Atlas Prime Neuroptics (10.0%)","Axi","A9","Radiant","Ivara Prime Systems","Akbronco Prime Link","Lex Prime","Rubico Prime Stock","Gram Prime Blade","Atlas Prime Neuroptics","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi B1 Relic (Intact) ","Euphona Prime (25.33%)","Ash Prime Chassis (25.33%)","Fang Prime Blade (25.33%)","Cernos Prime (11.0%)","Kavasa Prime Buckle (11.0%)","Banshee Prime Systems (2.0%)","Axi","B1","Intact","Euphona Prime","Ash Prime Chassis","Fang Prime Blade","Cernos Prime","Kavasa Prime Buckle","Banshee Prime Systems","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi B1 Relic (Exceptional) ","Euphona Prime (23.33%)","Ash Prime Chassis (23.33%)","Fang Prime Blade (23.33%)","Cernos Prime (13.0%)","Kavasa Prime Buckle (13.0%)","Banshee Prime Systems (4.0%)","Axi","B1","Exceptional","Euphona Prime","Ash Prime Chassis","Fang Prime Blade","Cernos Prime","Kavasa Prime Buckle","Banshee Prime Systems","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi B1 Relic (Flawless) ","Euphona Prime (20.0%)","Ash Prime Chassis (20.0%)","Fang Prime Blade (20.0%)","Cernos Prime (17.0%)","Kavasa Prime Buckle (17.0%)","Banshee Prime Systems (6.0%)","Axi","B1","Flawless","Euphona Prime","Ash Prime Chassis","Fang Prime Blade","Cernos Prime","Kavasa Prime Buckle","Banshee Prime Systems","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi B1 Relic (Radiant) ","Cernos Prime (20.0%)","Kavasa Prime Buckle (20.0%)","Euphona Prime (16.67%)","Ash Prime Chassis (16.67%)","Fang Prime Blade (16.67%)","Banshee Prime Systems (10.0%)","Axi","B1","Radiant","Cernos Prime","Kavasa Prime Buckle","Euphona Prime","Ash Prime Chassis","Fang Prime Blade","Banshee Prime Systems","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi B2 Relic (Intact) ","Fragor Prime Head (25.33%)","Sybaris Prime (25.33%)","Fang Prime Blade (25.33%)","Forma (11.0%)","Orthos Prime (11.0%)","Banshee Prime Systems (2.0%)","Axi","B2","Intact","Fragor Prime Head","Sybaris Prime","Fang Prime Blade","Forma","Orthos Prime","Banshee Prime Systems","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi B2 Relic (Exceptional) ","Fragor Prime Head (23.33%)","Sybaris Prime (23.33%)","Fang Prime Blade (23.33%)","Forma (13.0%)","Orthos Prime (13.0%)","Banshee Prime Systems (4.0%)","Axi","B2","Exceptional","Fragor Prime Head","Sybaris Prime","Fang Prime Blade","Forma","Orthos Prime","Banshee Prime Systems","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi B2 Relic (Flawless) ","Fragor Prime Head (20.0%)","Sybaris Prime (20.0%)","Fang Prime Blade (20.0%)","Forma (17.0%)","Orthos Prime (17.0%)","Banshee Prime Systems (6.0%)","Axi","B2","Flawless","Fragor Prime Head","Sybaris Prime","Fang Prime Blade","Forma","Orthos Prime","Banshee Prime Systems","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi B2 Relic (Radiant) ","Forma (20.0%)","Orthos Prime (20.0%)","Fragor Prime Head (16.67%)","Sybaris Prime (16.67%)","Fang Prime Blade (16.67%)","Banshee Prime Systems (10.0%)","Axi","B2","Radiant","Forma","Orthos Prime","Fragor Prime Head","Sybaris Prime","Fang Prime Blade","Banshee Prime Systems","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi B3 Relic (Intact) ","Paris Prime Lower Limb (25.33%)","Stradavar Prime Stock (25.33%)","Forma (25.33%)","Zhuge Prime Receiver (11.0%)","Atlas Prime Chassis (11.0%)","Baza Prime Stock (2.0%)","Axi","B3","Intact","Paris Prime Lower Limb","Stradavar Prime Stock","Forma","Zhuge Prime Receiver","Atlas Prime Chassis","Baza Prime Stock","25.33","25.33","25.33","11.0","11.0","2.0"
